"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","X 좌표","Y 좌표"
"2645","제1종일반주거지역_00465","UQA121","제1종일반주거지역","","","제1종일반주거지역","","658.1719666","177.3195542"
"2646","제2종일반주거지역_01415","UQA122","제2종일반주거지역","","","제2종일반주거지역","","162.5469255","53.77985667"
"2647","제2종일반주거지역(7층이하)_00134","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","0.904107135","4.688220078"
"2648","제2종일반주거지역(7층이하)_00180","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","1616.650188","170.8113822"
"2649","제3종일반주거지역_00211","UQA123","제3종일반주거지역","","","제3종일반주거지역","","8934.69772","438.4280828"
"2651","제2종일반주거지역_UQA12220120117555","UQA122","제2종일반주거지역","UQA12220120117555","58028336","제2종일반주거지역","20110310","48452.96512","989.332959"
"2652","제1종일반주거지역_5704","UQA121","제1종일반주거지역","100917","11000048","제1종일반주거지역","","43862.61403","1801.364703"
"2653","제1종일반주거지역_00381","UQA121","제1종일반주거지역","","","제1종일반주거지역","","87736.18646","4408.269428"
"2654","제1종일반주거지역_00331","UQA121","제1종일반주거지역","","","제1종일반주거지역","","114547.1438","3871.806009"
"2655","제1종일반주거지역_UQA12120171016827","UQA121","제1종일반주거지역","UQA12120171016827","58039422","제1종일반주거지역","20170615","18977.19813","1234.855057"
"2656","제2종일반주거지역_00716","UQA122","제2종일반주거지역","","","제2종일반주거지역","","104324.9305","2829.474231"
"2657","제2종일반주거지역_00714","UQA122","제2종일반주거지역","","","제2종일반주거지역","","14370.99965","547.9331218"
"2658","제1종일반주거지역_00969","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1095.119234","147.4725499"
"2659","제1종일반주거지역_00470","UQA121","제1종일반주거지역","","","제1종일반주거지역","","977.9633264","154.4544783"
"2660","제2종일반주거지역_00263","UQA122","제2종일반주거지역","","","제2종일반주거지역","","2840.153816","624.1681041"
